Loaded 873 existing candidates (50 passing)

=== mochajs/mocha ===
  fetched 800 failed runs
    1b6adde -> b6dffec [fail(no_prod_file)] - 
    e5fce31 -> 5c15948 [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    8e2c2c3 -> 5c15948 [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    317e901 -> cd35116 [fail(too_many_commits(61))] - 
    164b7ea -> 5c15948 [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    2676ebb -> 2676ebb [fail(same_sha_rerun)] - 
    a99f0ce -> ad474ee [fail(no_prod_file)] - 
    964ee41 -> 1c010fe [fail(too_many_commits(62))] - 
    05cd39a -> 34c74ea [fail(too_many_commits(68))] - 
    b8fdbe3 -> 34c74ea [fail(too_many_commits(68))] - 
    7152037 -> ad474ee [fail(no_prod_file)] - 
    c42a5e6 -> e6df5db [fail(no_prod_file)] - 
    272e783 -> ad474ee [fail(no_prod_file)] - 
    d66d316 -> ad474ee [fail(no_prod_file)] - 
    a1f4e52 -> af764af [fail(too_many_commits(263))] - 
    7dfc31b -> 002c0cf [fail(log_unavailable)] lib/rules/no-use-before-define.js 
    9d87d80 -> 56dd4b9 [fail(too_many_commits(63))] - 
    3a40bca -> 47ae445 [fail(too_many_commits(130))] - 
    d168219 -> 47ae445 [fail(too_many_commits(129))] - 
    8d9135c -> 47ae445 [fail(too_many_commits(131))] - 
    b8919fe -> 5508e74 [fail(no_prod_file)] - 
    2041417 -> 47ae445 [fail(too_many_commits(132))] - 
    824371e -> 5508e74 [fail(diff_too_large(614))] - 
    0a5aae4 -> 5d91332 [fail(no_prod_file)] - 
    6fbfa27 -> dc298a3 [fail(no_prod_file)] - 
    6bda754 -> 5508e74 [fail(diff_too_large(20812))] - 
    0c8defd -> 5ed1ed6 [fail(multi_prod_file)] - 
    9a61618 -> 5ed1ed6 [fail(multi_prod_file)] - 
    14e4116 -> 5ed1ed6 [fail(multi_prod_file)] - 
    9e7fad4 -> af764af [fail(too_many_commits(282))] - 
    a50c2ce -> f217b8d [fail(no_prod_file)] - 
    ad8d594 -> f217b8d [fail(no_prod_file)] - 
    b9c339d -> dc298a3 [fail(no_prod_file)] - 
    1ab0813 -> d2904df [fail(no_prod_file)] - 
    d7906ae -> 1a7eb2e [fail(no_prod_file)] - 
    8ffc417 -> 535f2ab [fail(no_prod_file)] - 
    206b413 -> 22d84eb [fail(log_unavailable)] packages/js/src/configs/eslint-recommended.js 
    a278fec -> af764af [fail(too_many_commits(283))] - 
    661d7fd -> 1a7eb2e [fail(no_prod_file)] - 
    25d0e33 -> af764af [fail(too_many_commits(287))] - 
    ef5d12b -> 6944651 [fail(no_prod_file)] - 
    6cd686a -> c176318 [fail(no_prod_file)] - 
    63f5910 -> f386759 [fail(no_prod_file)] - 
    b39e71a -> af764af [fail(too_many_commits(297))] - 
    e6a990e -> c176318 [fail(no_prod_file)] - 
    1272a78 -> 1b5a6b8 [fail(log_unavailable)] lib/linter/timing.js 
    cd39983 -> af764af [fail(too_many_commits(302))] - 
    04c4381 -> d75fb36 [fail(log_unavailable)] lib/linter/linter.js 
    2565abb -> f386759 [fail(log_unavailable)] lib/rules/no-loss-of-precision.js 
  kept=0 (out of 150 evaluated)
  -- total kept so far: 50

=== sinonjs/sinon ===
  fetched 31 failed runs
  1 new unique failing SHAs
  0 pairs have a next-passing run
  kept=0 (out of 0 evaluated)
  -- total kept so far: 50

=== axios/axios ===
  fetched 488 failed runs
  282 new unique failing SHAs
  88 pairs have a next-passing run
    c0b2917 -> acc4795 [fail(no_prod_file)] - 
    d5de8a9 -> 1cf5415 [fail(diff_too_large(4687))] - 
    60bfe11 -> acc4795 [fail(no_prod_file)] - 
    e21e89f -> acc4795 [fail(no_prod_file)] - 
    284355d -> acc4795 [fail(no_prod_file)] - 
    12880b9 -> 1cf5415 [fail(diff_too_large(4732))] - 
    01cddb5 -> 6b9ec17 [fail(no_prod_file)] - 
    926f735 -> 9130b3c [fail(no_prod_file)] - 
    90d2b5f -> 14d0b8a [fail(no_prod_file)] - 
    b0ad532 -> 9130b3c [fail(no_prod_file)] - 
    89842e1 -> d5c104d [fail(no_prod_file)] - 
    fed6a37 -> 27f08a8 [fail(no_prod_file)] - 
    cdd98cf -> 14440e3 [fail(diff_too_large(584))] - 
    fe4738f -> 27f08a8 [fail(no_prod_file)] - 
    38bc74b -> 27f08a8 [fail(no_prod_file)] - 
    8b6c5e7 -> 27f08a8 [fail(no_prod_file)] - 
    95a52d8 -> 27f08a8 [fail(no_prod_file)] - 
    bc9500b -> 27f08a8 [fail(too_many_commits(9))] - 
    6a63938 -> b7285f5 [fail(no_prod_file)] - 
    d8e9145 -> b7285f5 [fail(no_prod_file)] - 
    6f508d4 -> 6f508d4 [fail(same_sha_rerun)] - 
    569f028 -> fba7fcc [fail(too_many_commits(148))] - 
    af4f6d9 -> de1a810 [fail(too_many_commits(153))] - 
    4b9ed92 -> be90c25 [fail(no_signal)] lib/adapters/fetch.js 
    76dfba0 -> d7ff140 [fail(multi_prod_file)] - 
    91a9cec -> e9aff48 [fail(no_prod_file)] - 
    5b8e04c -> 0aac668 [fail(log_unavailable)] lib/helpers/fromDataURI.js 
    5a23d46 -> b43c9af [fail(no_signal)] lib/core/AxiosError.js 
    4d88f83 -> a77c6e0 [fail(too_many_commits(78))] - 
    2531743 -> 0aac668 [fail(log_unavailable)] lib/helpers/fromDataURI.js 
    11ed5f7 -> 0aac668 [fail(log_unavailable)] lib/helpers/fromDataURI.js 
    8094d95 -> e9aff48 [fail(log_unavailable)] lib/adapters/http.js 
    e2f55e9 -> a133ffd [fail(no_signal)] lib/utils.js 
    99aff7e -> 03d72c2 [fail(no_prod_file)] - 
    06bc390 -> 03d72c2 [fail(no_prod_file)] - 
    291156b -> 03d72c2 [fail(no_prod_file)] - 
    af028f9 -> 03d72c2 [fail(no_prod_file)] - 
